,ZIPCODE,COUNT
0,10000,3
1,10001,6674
2,10002,5458
3,10003,4296
4,10004,906
5,10005,487
6,10006,648
7,10007,1610
8,10009,2448
9,10010,3407
10,10011,4523
11,10012,3337
12,10013,5866
13,10014,2800
14,10016,7591
15,10017,4712
16,10018,5091
17,10019,7067
18,10020,340
19,10021,2785
20,10022,7524
21,10023,3359
22,10024,2933
23,10025,3195
24,10026,1345
25,10027,3466
26,10028,2015
27,10029,4222
28,10030,1304
29,10031,2023
30,10032,2374
31,10033,2498
32,10034,1979
33,10035,3613
34,10036,6973
35,10037,1226
36,10038,1181
37,10039,715
38,10040,1119
39,10048,27
40,10065,4429
41,10069,119
42,10075,1516
43,10111,15
44,10119,116
45,10128,2898
46,10280,96
47,10281,23
48,10282,35
49,10301,2796
50,10302,436
51,10303,479
52,10304,2934
53,10305,2689
54,10306,3959
55,10307,453
56,10308,1299
57,10309,1622
58,10310,1633
59,10312,3028
60,10314,2678
61,10451,3282
62,10452,2656
63,10453,2620
64,10454,2391
65,10455,2178
66,10456,2628
67,10457,3097
68,10458,3806
69,10459,2472
70,10460,3018
71,10461,3223
72,10462,2843
73,10463,2576
74,10464,296
75,10465,1871
76,10466,3800
77,10467,4896
78,10468,3422
79,10469,3408
80,10470,1365
81,10471,849
82,10472,2095
83,10473,1896
84,10474,1311
85,10475,1809
86,10803,1
87,11001,214
88,11004,1133
89,11005,41
90,11040,156
91,11101,7698
92,11102,1538
93,11103,1967
94,11104,1213
95,11105,1439
96,11106,2260
97,11109,61
98,11201,6372
99,11203,6180
100,11204,3832
101,11205,3144
102,11206,4668
103,11207,9349
104,11208,5164
105,11209,2851
106,11210,3739
107,11211,4356
108,11212,4748
109,11213,4894
110,11214,3675
111,11215,4298
112,11216,4459
113,11217,4313
114,11218,3627
115,11219,3746
116,11220,5238
117,11221,3860
118,11222,3297
119,11223,4112
120,11224,1875
121,11225,3466
122,11226,5228
123,11228,2233
124,11229,3709
125,11230,4818
126,11231,1758
127,11232,2939
128,11233,4777
129,11234,5660
130,11235,4294
131,11236,5757
132,11237,2691
133,11238,3598
134,11239,644
135,11249,1719
136,11354,4644
137,11355,4277
138,11356,1473
139,11357,1580
140,11358,2475
141,11359,4
142,11360,552
143,11361,2556
144,11362,958
145,11363,659
146,11364,1468
147,11365,1420
148,11366,1101
149,11367,1882
150,11368,3832
151,11369,2006
152,11370,1660
153,11372,3848
154,11373,4263
155,11374,2275
156,11375,3552
157,11377,4696
158,11378,2786
159,11379,1989
160,11385,5680
161,11411,1376
162,11412,2213
163,11413,3311
164,11414,1397
165,11415,944
166,11416,1650
167,11417,2449
168,11418,2260
169,11419,2967
170,11420,3146
171,11421,1961
172,11422,3086
173,11423,1912
174,11426,1015
175,11427,1333
176,11428,1262
177,11429,1490
178,11430,54
179,11432,3641
180,11433,2346
181,11434,5359
182,11435,3066
183,11436,1063
184,11691,2080
185,11692,533
186,11693,578
187,11694,655
188,11695,10
189,11697,58
