,Borough,Year,Count
0,BRONX,2012,8334
1,BRONX,2013,17129
2,BRONX,2014,16548
3,BRONX,2015,18169
4,BRONX,2016,3629
5,BROOKLYN,2012,20733
6,BROOKLYN,2013,41540
7,BROOKLYN,2014,40823
8,BROOKLYN,2015,43367
9,BROOKLYN,2016,8378
10,MANHATTAN,2012,18578
11,MANHATTAN,2013,36394
12,MANHATTAN,2014,34550
13,MANHATTAN,2015,36327
14,MANHATTAN,2016,6538
15,QUEENS,2012,17187
16,QUEENS,2013,35257
17,QUEENS,2014,35850
18,QUEENS,2015,37316
19,QUEENS,2016,7208
20,STATEN ISLAND,2012,4343
21,STATEN ISLAND,2013,7321
22,STATEN ISLAND,2014,5770
23,STATEN ISLAND,2015,5442
24,STATEN ISLAND,2016,1130
